"","participant_id","project_code","project","survey_language","country","institute_code","institution","setting","participant_code..original.data.","condition","greencar","greensoap","greendishwasher","race","recoded_race","nationality","original_gender","gender","original_age","age","RorD","LiborCon","new_condition","total","Groups.New","US_or_other","year"
"47",176,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",1,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Status",2,0,"other","2014"
"48",177,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",1,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",2,0,"other","2014"
"49",178,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",0,1,1,NA,NA,NA,"Female","Female","18",18,NA,NA,"Status",2,0,"other","2014"
"50",189,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",1,0,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Status",1,0,"other","2014"
"51",192,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",1,1,1,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",3,0,"other","2014"
"52",195,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",0,0,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",0,0,"other","2014"
"53",196,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",1,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",2,0,"other","2014"
"54",199,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",1,0,0,NA,NA,NA,"Male","Male","18",18,NA,NA,"Control",1,0,"other","2014"
"55",200,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",1,0,1,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",2,0,"other","2014"
"56",302,23,"#16-18","English","USA",19,"University of Minnesota","Lab","2","control story",1,1,1,"White/Caucasian/European American","White",NA,"Female","Female","18",18,"Democrat","Liberal","Control",3,0,"USA","2016"
"57",303,23,"#16-18","English","USA",19,"University of Minnesota","Lab","29","control story",0,1,1,"White/Caucasian/European American","White",NA,"Male","Male","18",18,"Democrat","Liberal","Control",2,0,"USA","2016"
"58",327,23,"#16-18","English","USA",19,"University of Minnesota","Lab","91","control story",0,1,0,"White/Caucasian/European American","White",NA,"Female","Female","18",18,"Democrat","Liberal","Control",1,0,"USA","2016"
"59",355,23,"#16-18","English","USA",19,"University of Minnesota","Lab","45","control story",0,1,0,"White/Caucasian/European American","White",NA,"Male","Male","18",18,"Democrat","Conservative","Control",1,0,"USA","2016"
"60",369,23,"#16-18","English","USA",19,"University of Minnesota","Lab","50","control story",1,1,0,"Asian/Pacific Islander/Asian American","Asian or Asian Indian",NA,"Female","Female","18",18,"Republican","Conservative","Control",2,0,"USA","2016"
"61",381,23,"#16-18","English","USA",19,"University of Minnesota","Lab","18","control story",0,0,0,"Asian/Pacific Islander/Asian American",NA,NA,"Male","Male","18",18,NA,NA,"Control",0,0,"USA","2016"
"62",416,23,"#16-18","English","USA",19,"University of Minnesota","Lab","140","no story",0,1,1,"Asian/Pacific Islander/Asian American","Asian or Asian Indian",NA,"Female","Female","18",18,"Democrat","Liberal","Control",2,0,"USA","2016"
"63",418,23,"#16-18","English","USA",19,"University of Minnesota","Lab","54","no story",0,1,0,"Black/African American","Black or African American",NA,"Female","Female","18",18,"Democrat","Liberal","Control",1,0,"USA","2016"
"64",432,23,"#16-18","English","USA",19,"University of Minnesota","Lab","101","no story",1,0,0,"Other","Other",NA,"Female","Female","18",18,"Democrat","Liberal","Control",1,0,"USA","2016"
"65",446,23,"#16-18","English","USA",19,"University of Minnesota","Lab","65","no story",1,0,0,"White/Caucasian/European American","White",NA,"Female","Female","18",18,"Democrat","Liberal","Control",1,0,"USA","2016"
"66",457,23,"#16-18","English","USA",19,"University of Minnesota","Lab","32","no story",1,1,0,"Asian/Pacific Islander/Asian American","Asian or Asian Indian",NA,"Female","Female","18",18,NA,NA,"Control",2,0,"USA","2016"
"67",464,23,"#16-18","English","USA",19,"University of Minnesota","Lab","127","no story",1,0,0,"Asian/Pacific Islander/Asian American","Asian or Asian Indian",NA,"Female","Female","18",18,"Democrat",NA,"Control",1,0,"USA","2016"
"68",467,23,"#16-18","English","USA",19,"University of Minnesota","Lab","98","no story",1,0,0,"White/Caucasian/European American","White",NA,"Female","Female","18",18,NA,"Conservative","Control",1,0,"USA","2016"
"69",471,23,"#16-18","English","USA",19,"University of Minnesota","Lab","10","no story",1,0,0,"White/Caucasian/European American","White",NA,"Female","Female","18",18,"Republican","Conservative","Control",1,0,"USA","2016"
"70",472,23,"#16-18","English","USA",19,"University of Minnesota","Lab","62","no story",0,1,1,"White/Caucasian/European American","White",NA,"Male","Male","18",18,"Republican","Conservative","Control",2,0,"USA","2016"
"71",473,23,"#16-18","English","USA",19,"University of Minnesota","Lab","64","no story",1,0,0,"Asian/Pacific Islander/Asian American","Asian or Asian Indian",NA,"Male","Male","18",18,"Republican","Conservative","Control",1,0,"USA","2016"
"72",475,23,"#16-18","English","USA",19,"University of Minnesota","Lab","26","no story",1,0,0,"White/Caucasian/European American","White",NA,"Female","Female","18",18,"Republican","Conservative","Control",1,0,"USA","2016"
"73",490,23,"#16-18","English","USA",19,"University of Minnesota","Lab","87","no story",0,0,0,"Black/African American",NA,NA,"Male","Male","18",18,NA,NA,"Control",0,0,"USA","2016"
"74",513,23,"#16-18","English","USA",19,"University of Minnesota","Lab","134","status story",1,0,0,"White/Caucasian/European American","White",NA,"Male","Male","18",18,"Democrat","Liberal","Status",1,0,"USA","2016"
"75",514,23,"#16-18","English","USA",19,"University of Minnesota","Lab","42","status story",0,0,0,"White/Caucasian/European American","White",NA,"Female","Female","18",18,"Democrat","Liberal","Status",0,0,"USA","2016"
"76",517,23,"#16-18","English","USA",19,"University of Minnesota","Lab","93","status story",1,1,1,"White/Caucasian/European American","White",NA,"Transgender","non-binary or transgender","18",18,"Democrat","Liberal","Status",3,0,"USA","2016"
"77",540,23,"#16-18","English","USA",19,"University of Minnesota","Lab","94","status story",0,1,0,"Asian/Pacific Islander/Asian American","Asian or Asian Indian",NA,"Female","Female","18",18,"Democrat","Liberal","Status",1,0,"USA","2016"
"78",551,23,"#16-18","English","USA",19,"University of Minnesota","Lab","9","status story",1,1,1,"Asian/Pacific Islander/Asian American","Asian or Asian Indian",NA,"Female","Female","18",18,"Democrat","Liberal","Status",3,0,"USA","2016"
"79",558,23,"#16-18","English","USA",19,"University of Minnesota","Lab","12","status story",1,0,1,"Asian/Pacific Islander/Asian American","Asian or Asian Indian",NA,"Female","Female","18",18,"Democrat",NA,"Status",2,0,"USA","2016"
"80",567,23,"#16-18","English","USA",19,"University of Minnesota","Lab","57","status story",0,0,0,"White/Caucasian/European American","White",NA,"Female","Female","18",18,"Republican","Conservative","Status",0,0,"USA","2016"
"81",576,23,"#16-18","English","USA",19,"University of Minnesota","Lab","4","status story",0,1,0,"White/Caucasian/European American","White",NA,"Female","Female","18",18,"Republican","Conservative","Status",1,0,"USA","2016"
"82",595,23,"#16-18","English","USA",19,"University of Minnesota","Lab","38","status story",1,1,1,"White/Caucasian/European American",NA,NA,"Male","Male","18",18,"Democrat",NA,"Status",3,0,"USA","2016"
"83",617,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",1,1,1,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",3,NA,"USA","2017"
"84",619,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",1,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",1,NA,"USA","2017"
"85",626,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",0,1,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",1,NA,"USA","2017"
"86",627,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",1,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",1,NA,"USA","2017"
"87",634,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",0,1,0,NA,"White",NA,"female","Female","18",18,NA,"Liberal","Control",1,NA,"USA","2017"
"88",635,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",0,0,0,NA,"White",NA,"female","Female","18",18,NA,"Liberal","Control",0,NA,"USA","2017"
"89",638,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",1,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",1,NA,"USA","2017"
"90",647,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",1,1,1,NA,"White",NA,"female","Female","18",18,NA,"Liberal","Control",3,NA,"USA","2017"
"91",648,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"status story",0,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Status",0,NA,"USA","2017"
"92",649,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",1,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",1,NA,"USA","2017"
"93",652,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"status story",1,1,1,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Status",3,NA,"USA","2017"
"94",657,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",0,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",0,NA,"USA","2017"
"95",659,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",0,0,0,NA,"White",NA,"female","Female","18",18,NA,"Liberal","Control",0,NA,"USA","2017"
"96",662,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"status story",0,1,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Status",1,NA,"USA","2017"
"97",669,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",0,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",0,NA,"USA","2017"
"98",670,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"status story",0,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Status",0,NA,"USA","2017"
"99",673,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",0,1,1,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",2,NA,"USA","2017"
"100",674,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",0,0,0,NA,"White",NA,"female","Female","18",18,NA,"Liberal","Control",0,NA,"USA","2017"
"101",676,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"status story",1,1,1,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Status",3,NA,"USA","2017"
"102",678,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",1,0,1,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",2,NA,"USA","2017"
"103",679,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",1,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",1,NA,"USA","2017"
"104",681,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"status story",0,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Status",0,NA,"USA","2017"
"105",683,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",1,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",1,NA,"USA","2017"
"106",689,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",1,1,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",2,NA,"USA","2017"
"107",690,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",0,0,1,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",1,NA,"USA","2017"
"108",692,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",0,0,0,NA,"White",NA,"female","Female","18",18,NA,"Liberal","Control",0,NA,"USA","2017"
"109",693,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"status story",1,0,0,NA,"Hispanic or Latino",NA,"female","Female","18",18,NA,"Liberal","Status",1,NA,"USA","2017"
"110",696,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",1,0,1,NA,"White",NA,"male","Male","18",18,NA,"Conservative","Control",2,NA,"USA","2017"
"111",697,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",1,1,1,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",3,NA,"USA","2017"
"112",698,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"status story",1,1,1,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Status",3,NA,"USA","2017"
"113",699,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",1,1,1,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",3,NA,"USA","2017"
"114",703,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",1,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",1,NA,"USA","2017"
"115",704,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",1,0,1,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",2,NA,"USA","2017"
"116",707,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"status story",1,0,1,NA,"White",NA,"female","Female","18",18,NA,"Liberal","Status",2,NA,"USA","2017"
"117",708,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",1,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",1,NA,"USA","2017"
"118",711,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"status story",0,0,0,NA,"Asian or Asian Indian",NA,"female","Female","18",18,NA,"Conservative","Status",0,NA,"USA","2017"
"119",713,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",0,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",0,NA,"USA","2017"
"120",714,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"status story",1,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Status",1,NA,"USA","2017"
"121",715,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",1,1,0,NA,"White",NA,"female","Female","18",18,NA,"Liberal","Control",2,NA,"USA","2017"
"122",717,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",0,0,0,NA,"White",NA,"male","Male","18",18,NA,"Conservative","Control",0,NA,"USA","2017"
"123",721,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",0,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",0,NA,"USA","2017"
"124",727,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",1,1,1,NA,"Asian or Asian Indian",NA,"female","Female","18",18,NA,"Liberal","Control",3,NA,"USA","2017"
"125",728,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",1,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",1,NA,"USA","2017"
"126",729,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"status story",1,0,1,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Status",2,NA,"USA","2017"
"127",739,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",0,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",0,NA,"USA","2017"
"128",746,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",0,1,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",1,NA,"USA","2017"
"129",747,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"no story",1,0,1,NA,"White",NA,"female","Female","18",18,NA,"Liberal","Control",2,NA,"USA","2017"
"130",750,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",0,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",0,NA,"USA","2017"
"131",752,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"status story",0,1,1,NA,"White",NA,"female","Female","18",18,NA,"Liberal","Status",2,NA,"USA","2017"
"132",758,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"control story",1,1,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",2,NA,"USA","2017"
"133",759,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"status story",0,0,0,NA,"White",NA,"male","Male","18",18,NA,"Conservative","Status",0,NA,"USA","2017"
"134",770,21,"#17-33","English","USA",17,"Brigham Young University-Idaho",NA,NA,"status story",1,1,1,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Status",3,NA,"USA","2017"
"135",775,20,"#18-10","English","USA",16,"Brigham Young University-Idaho","Lab",NA,"control story",1,0,1,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",2,0,"USA","2018"
"136",780,20,"#18-10","English","USA",16,"Brigham Young University-Idaho","Lab",NA,"control story",0,0,0,NA,"White",NA,"male","Male","18",18,NA,"Conservative","Control",0,0,"USA","2018"
"137",787,20,"#18-10","English","USA",16,"Brigham Young University-Idaho","Lab",NA,"no story",0,0,0,NA,"White",NA,"male","Male","18",18,NA,"Conservative","Control",0,0,"USA","2018"
"138",803,20,"#18-10","English","USA",16,"Brigham Young University-Idaho","Lab",NA,"control story",1,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",1,0,"USA","2018"
"139",807,20,"#18-10","English","USA",16,"Brigham Young University-Idaho","Lab",NA,"control story",1,0,1,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",2,0,"USA","2018"
"140",809,20,"#18-10","English","USA",16,"Brigham Young University-Idaho","Lab",NA,"status story",1,0,0,NA,"Hispanic or Latino",NA,"female","Female","18",18,NA,"Conservative","Status",1,0,"USA","2018"
"141",810,20,"#18-10","English","USA",16,"Brigham Young University-Idaho","Lab",NA,"no story",0,0,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",0,0,"USA","2018"
"142",815,20,"#18-10","English","USA",16,"Brigham Young University-Idaho","Lab",NA,"no story",0,1,0,NA,"White",NA,"female","Female","18",18,NA,"Conservative","Control",1,0,"USA","2018"
"143",817,20,"#18-10","English","USA",16,"Brigham Young University-Idaho","Lab",NA,"status story",1,1,1,NA,"White",NA,"male","Male","18",18,NA,"Conservative","Status",3,0,"USA","2018"
"144",861,20,"#18-10","English","USA",16,"Brigham Young University-Idaho","Lab",NA,"control story",1,0,0,NA,"White",NA,"female","Female","18",18,NA,"Liberal","Control",1,0,"USA","2018"
