participant_id,project_code,project,survey_language,country,institute_code,institution,setting,participant_code (original data),condition,greencar,greensoap,greendishwasher,race,recoded_race,nationality,original_gender,gender,original_age,age,RorD,LiborCon
99,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,No,Yes,No,,,,Female,Female,18,18,,
102,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,No,Yes,No,,,,Female,Female,18,18,,
105,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,No,Yes,No,,,,Female,Female,18,18,,
110,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,Yes,Yes,No,,,,Female,Female,18,18,,
116,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,Yes,Yes,Yes,,,,Female,Female,18,18,,
118,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,Yes,Yes,No,,,,Male,Male,18,18,,
124,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,Yes,Yes,Yes,,,,Female,Female,18,18,,
125,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,Yes,No,No,,,,Female,Female,18,18,,
126,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,No,No,No,,,,Female,Female,18,18,,
129,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,Yes,Yes,Yes,,,,Female,Female,18,18,,
131,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,Yes,Yes,No,,,,Female,Female,18,18,,
136,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,No,Yes,No,,,,Female,Female,18,18,,
141,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,No,No,No,,,,Female,Female,18,18,,
143,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,Yes,Yes,Yes,,,,Female,Female,18,18,,
144,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,Yes,Yes,No,,,,Female,Female,18,18,,
148,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,Yes,No,No,,,,Female,Female,18,18,,
149,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,Yes,No,No,,,,Female,Female,18,18,,
150,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,Yes,Yes,Yes,,,,Female,Female,18,18,,
154,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,Yes,No,Yes,,,,Female,Female,18,18,,
156,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,Yes,Yes,No,,,,Female,Female,18,18,,
159,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,Yes,No,No,,,,Male,Male,18,18,,
165,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,Yes,Yes,No,,,,Female,Female,18,18,,
173,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,No,No,No,,,,Male,Male,18,18,,
174,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,No,Yes,No,,,,Female,Female,18,18,,
175,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,Yes,No,No,,,,Female,Female,18,18,,
176,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,Yes,Yes,No,,,,Female,Female,18,18,,
177,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,Yes,Yes,No,,,,Female,Female,18,18,,
178,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,No,Yes,Yes,,,,Female,Female,18,18,,
189,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,Yes,No,No,,,,Female,Female,18,18,,
192,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,Yes,Yes,Yes,,,,Female,Female,18,18,,
195,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,No,No,No,,,,Female,Female,18,18,,
196,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,Yes,Yes,No,,,,Female,Female,18,18,,
199,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,Yes,No,No,,,,Male,Male,18,18,,
200,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,Yes,No,Yes,,,,Female,Female,18,18,,
302,23,#16-18,English,USA,19,University of Minnesota,Lab,2,control story,Yes,Yes,Yes,White/Caucasian/European American,White,,Female,Female,18,18,Democrat,Liberal
303,23,#16-18,English,USA,19,University of Minnesota,Lab,29,control story,No,Yes,Yes,White/Caucasian/European American,White,,Male,Male,18,18,Democrat,Liberal
327,23,#16-18,English,USA,19,University of Minnesota,Lab,91,control story,No,Yes,No,White/Caucasian/European American,White,,Female,Female,18,18,Democrat,Liberal
355,23,#16-18,English,USA,19,University of Minnesota,Lab,45,control story,No,Yes,No,White/Caucasian/European American,White,,Male,Male,18,18,Democrat,Conservative
369,23,#16-18,English,USA,19,University of Minnesota,Lab,50,control story,Yes,Yes,No,Asian/Pacific Islander/Asian American,Asian or Asian Indian,,Female,Female,18,18,Republican,Conservative
381,23,#16-18,English,USA,19,University of Minnesota,Lab,18,control story,No,No,No,Asian/Pacific Islander/Asian American,,,Male,Male,18,18,,
416,23,#16-18,English,USA,19,University of Minnesota,Lab,140,no story,No,Yes,Yes,Asian/Pacific Islander/Asian American,Asian or Asian Indian,,Female,Female,18,18,Democrat,Liberal
418,23,#16-18,English,USA,19,University of Minnesota,Lab,54,no story,No,Yes,No,Black/African American,Black or African American,,Female,Female,18,18,Democrat,Liberal
432,23,#16-18,English,USA,19,University of Minnesota,Lab,101,no story,Yes,No,No,Other,Other,,Female,Female,18,18,Democrat,Liberal
446,23,#16-18,English,USA,19,University of Minnesota,Lab,65,no story,Yes,No,No,White/Caucasian/European American,White,,Female,Female,18,18,Democrat,Liberal
457,23,#16-18,English,USA,19,University of Minnesota,Lab,32,no story,Yes,Yes,No,Asian/Pacific Islander/Asian American,Asian or Asian Indian,,Female,Female,18,18,,
464,23,#16-18,English,USA,19,University of Minnesota,Lab,127,no story,Yes,No,No,Asian/Pacific Islander/Asian American,Asian or Asian Indian,,Female,Female,18,18,Democrat,
467,23,#16-18,English,USA,19,University of Minnesota,Lab,98,no story,Yes,No,No,White/Caucasian/European American,White,,Female,Female,18,18,,Conservative
471,23,#16-18,English,USA,19,University of Minnesota,Lab,10,no story,Yes,No,No,White/Caucasian/European American,White,,Female,Female,18,18,Republican,Conservative
472,23,#16-18,English,USA,19,University of Minnesota,Lab,62,no story,No,Yes,Yes,White/Caucasian/European American,White,,Male,Male,18,18,Republican,Conservative
473,23,#16-18,English,USA,19,University of Minnesota,Lab,64,no story,Yes,No,No,Asian/Pacific Islander/Asian American,Asian or Asian Indian,,Male,Male,18,18,Republican,Conservative
475,23,#16-18,English,USA,19,University of Minnesota,Lab,26,no story,Yes,No,No,White/Caucasian/European American,White,,Female,Female,18,18,Republican,Conservative
490,23,#16-18,English,USA,19,University of Minnesota,Lab,87,no story,No,No,No,Black/African American,,,Male,Male,18,18,,
513,23,#16-18,English,USA,19,University of Minnesota,Lab,134,status story,Yes,No,No,White/Caucasian/European American,White,,Male,Male,18,18,Democrat,Liberal
514,23,#16-18,English,USA,19,University of Minnesota,Lab,42,status story,No,No,No,White/Caucasian/European American,White,,Female,Female,18,18,Democrat,Liberal
517,23,#16-18,English,USA,19,University of Minnesota,Lab,93,status story,Yes,Yes,Yes,White/Caucasian/European American,White,,Transgender,non-binary or transgender,18,18,Democrat,Liberal
540,23,#16-18,English,USA,19,University of Minnesota,Lab,94,status story,No,Yes,No,Asian/Pacific Islander/Asian American,Asian or Asian Indian,,Female,Female,18,18,Democrat,Liberal
551,23,#16-18,English,USA,19,University of Minnesota,Lab,9,status story,Yes,Yes,Yes,Asian/Pacific Islander/Asian American,Asian or Asian Indian,,Female,Female,18,18,Democrat,Liberal
558,23,#16-18,English,USA,19,University of Minnesota,Lab,12,status story,Yes,No,Yes,Asian/Pacific Islander/Asian American,Asian or Asian Indian,,Female,Female,18,18,Democrat,
567,23,#16-18,English,USA,19,University of Minnesota,Lab,57,status story,No,No,No,White/Caucasian/European American,White,,Female,Female,18,18,Republican,Conservative
576,23,#16-18,English,USA,19,University of Minnesota,Lab,4,status story,No,Yes,No,White/Caucasian/European American,White,,Female,Female,18,18,Republican,Conservative
595,23,#16-18,English,USA,19,University of Minnesota,Lab,38,status story,Yes,Yes,Yes,White/Caucasian/European American,,,Male,Male,18,18,Democrat,
617,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,Yes,Yes,Yes,,White,,female,Female,18,18,,Conservative
619,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,Yes,No,No,,White,,female,Female,18,18,,Conservative
626,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,No,Yes,No,,White,,female,Female,18,18,,Conservative
627,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,Yes,No,No,,White,,female,Female,18,18,,Conservative
634,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,No,Yes,No,,White,,female,Female,18,18,,Liberal
635,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,No,No,No,,White,,female,Female,18,18,,Liberal
638,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,Yes,No,No,,White,,female,Female,18,18,,Conservative
647,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,Yes,Yes,Yes,,White,,female,Female,18,18,,Liberal
648,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,status story,No,No,No,,White,,female,Female,18,18,,Conservative
649,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,Yes,No,No,,White,,female,Female,18,18,,Conservative
652,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,status story,Yes,Yes,Yes,,White,,female,Female,18,18,,Conservative
657,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,No,No,No,,White,,female,Female,18,18,,Conservative
659,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,No,No,No,,White,,female,Female,18,18,,Liberal
662,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,status story,No,Yes,No,,White,,female,Female,18,18,,Conservative
669,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,No,No,No,,White,,female,Female,18,18,,Conservative
670,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,status story,No,No,No,,White,,female,Female,18,18,,Conservative
673,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,No,Yes,Yes,,White,,female,Female,18,18,,Conservative
674,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,No,No,No,,White,,female,Female,18,18,,Liberal
676,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,status story,Yes,Yes,Yes,,White,,female,Female,18,18,,Conservative
678,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,Yes,No,Yes,,White,,female,Female,18,18,,Conservative
679,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,Yes,No,No,,White,,female,Female,18,18,,Conservative
681,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,status story,No,No,No,,White,,female,Female,18,18,,Conservative
683,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,Yes,No,No,,White,,female,Female,18,18,,Conservative
689,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,Yes,Yes,No,,White,,female,Female,18,18,,Conservative
690,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,No,No,Yes,,White,,female,Female,18,18,,Conservative
692,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,No,No,No,,White,,female,Female,18,18,,Liberal
693,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,status story,Yes,No,No,,Hispanic or Latino,,female,Female,18,18,,Liberal
696,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,Yes,No,Yes,,White,,male,Male,18,18,,Conservative
697,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,Yes,Yes,Yes,,White,,female,Female,18,18,,Conservative
698,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,status story,Yes,Yes,Yes,,White,,female,Female,18,18,,Conservative
699,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,Yes,Yes,Yes,,White,,female,Female,18,18,,Conservative
703,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,Yes,No,No,,White,,female,Female,18,18,,Conservative
704,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,Yes,No,Yes,,White,,female,Female,18,18,,Conservative
707,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,status story,Yes,No,Yes,,White,,female,Female,18,18,,Liberal
708,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,Yes,No,No,,White,,female,Female,18,18,,Conservative
711,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,status story,No,No,No,,Asian or Asian Indian,,female,Female,18,18,,Conservative
713,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,No,No,No,,White,,female,Female,18,18,,Conservative
714,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,status story,Yes,No,No,,White,,female,Female,18,18,,Conservative
715,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,Yes,Yes,No,,White,,female,Female,18,18,,Liberal
717,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,No,No,No,,White,,male,Male,18,18,,Conservative
721,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,No,No,No,,White,,female,Female,18,18,,Conservative
727,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,Yes,Yes,Yes,,Asian or Asian Indian,,female,Female,18,18,,Liberal
728,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,Yes,No,No,,White,,female,Female,18,18,,Conservative
729,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,status story,Yes,No,Yes,,White,,female,Female,18,18,,Conservative
739,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,No,No,No,,White,,female,Female,18,18,,Conservative
746,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,No,Yes,No,,White,,female,Female,18,18,,Conservative
747,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,no story,Yes,No,Yes,,White,,female,Female,18,18,,Liberal
750,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,No,No,No,,White,,female,Female,18,18,,Conservative
752,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,status story,No,Yes,Yes,,White,,female,Female,18,18,,Liberal
758,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,control story,Yes,Yes,No,,White,,female,Female,18,18,,Conservative
759,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,status story,No,No,No,,White,,male,Male,18,18,,Conservative
770,21,#17-33,English,USA,17,Brigham Young University-Idaho,,,status story,Yes,Yes,Yes,,White,,female,Female,18,18,,Conservative
775,20,#18-10,English,USA,16,Brigham Young University-Idaho,Lab,,control story,Yes,No,Yes,,White,,female,Female,18,18,,Conservative
780,20,#18-10,English,USA,16,Brigham Young University-Idaho,Lab,,control story,No,No,No,,White,,male,Male,18,18,,Conservative
787,20,#18-10,English,USA,16,Brigham Young University-Idaho,Lab,,no story,No,No,No,,White,,male,Male,18,18,,Conservative
803,20,#18-10,English,USA,16,Brigham Young University-Idaho,Lab,,control story,Yes,No,No,,White,,female,Female,18,18,,Conservative
807,20,#18-10,English,USA,16,Brigham Young University-Idaho,Lab,,control story,Yes,No,Yes,,White,,female,Female,18,18,,Conservative
809,20,#18-10,English,USA,16,Brigham Young University-Idaho,Lab,,status story,Yes,No,No,,Hispanic or Latino,,female,Female,18,18,,Conservative
810,20,#18-10,English,USA,16,Brigham Young University-Idaho,Lab,,no story,No,No,No,,White,,female,Female,18,18,,Conservative
815,20,#18-10,English,USA,16,Brigham Young University-Idaho,Lab,,no story,No,Yes,No,,White,,female,Female,18,18,,Conservative
817,20,#18-10,English,USA,16,Brigham Young University-Idaho,Lab,,status story,Yes,Yes,Yes,,White,,male,Male,18,18,,Conservative
861,20,#18-10,English,USA,16,Brigham Young University-Idaho,Lab,,control story,Yes,No,No,,White,,female,Female,18,18,,Liberal
868,20,#18-10,English,USA,16,Brigham Young University-Idaho,Lab,,no story,No,Yes,Yes,,Native Hawaiian or Pacific Islander,,female,Female,18,18,,Conservative
870,20,#18-10,English,USA,16,Brigham Young University-Idaho,Lab,,status story,Yes,Yes,Yes,,Hispanic or Latino,,male,Male,18,18,,Conservative
887,1,#18-17,English,USA,1,Adams State University,Lab,14,control story,No,No,No,White,White,,Male,Male,18,18,,Conservative
890,1,#18-17,English,USA,1,Adams State University,Lab,17,control story,Yes,Yes,Yes,White,White,,Male,Male,18,18,,Conservative
892,1,#18-17,English,USA,1,Adams State University,Lab,19,control story,No,Yes,No,White,White,,Male,Male,18,18,Republican,Conservative
896,1,#18-17,English,USA,1,Adams State University,Lab,23,control story,Yes,No,Yes,White,White,,Female,Female,18,18,,Liberal
898,1,#18-17,English,USA,1,Adams State University,Lab,25,control story,No,No,No,White,White,,Female,Female,18,18,,Conservative
899,1,#18-17,English,USA,1,Adams State University,Lab,26,control story,Yes,No,No,other,Other,,Female,Female,18,18,,
912,1,#18-17,English,USA,1,Adams State University,Lab,39,status story,No,No,No,Black,Black or African American,,Male,Male,18,18,Democrat,Conservative
914,1,#18-17,English,USA,1,Adams State University,Lab,41,status story,Yes,No,No,White,White,,Female,Female,18,18,,Liberal
915,1,#18-17,English,USA,1,Adams State University,Lab,42,status story,Yes,No,No,White,White,,Male,Male,18,18,Republican,Conservative
919,1,#18-17,English,USA,1,Adams State University,Lab,46,status story,No,No,No,Black,Black or African American,,Male,Male,18,18,,Liberal
920,1,#18-17,English,USA,1,Adams State University,Lab,47,status story,No,Yes,No,White,White,,Male,Male,18,18,Republican,Conservative
922,1,#18-17,English,USA,1,Adams State University,Lab,49,status story,No,Yes,Yes,other,Other,,Female,Female,18,18,Democrat,Liberal
930,1,#18-17,English,USA,1,Adams State University,Lab,57,status story,No,No,No,White,White,,Male,Male,18,18,Republican,Conservative
932,1,#18-17,English,USA,1,Adams State University,Lab,59,status story,Yes,No,No,White,White,,Female,Female,18,18,,
933,1,#18-17,English,USA,1,Adams State University,Lab,60,status story,No,No,No,White,White,,Male,Male,18,18,Democrat,Conservative
936,1,#18-17,English,USA,1,Adams State University,Lab,63,status story,Yes,No,No,White,White,,Male,Male,18,18,,Conservative
937,1,#18-17,English,USA,1,Adams State University,Lab,64,status story,No,No,Yes,White,White,,Male,Male,18,18,,
939,1,#18-17,English,USA,1,Adams State University,Lab,66,status story,No,Yes,Yes,White,White,,Male,Male,18,18,Democrat,Liberal
940,1,#18-17,English,USA,1,Adams State University,Lab,67,status story,No,Yes,No,White,White,,Female,Female,18,18,Democrat,Liberal
950,1,#18-17,English,USA,1,Adams State University,Lab,77,control story,No,No,No,other,Other,,Female,Female,18,18,Republican,Liberal
951,1,#18-17,English,USA,1,Adams State University,Lab,78,control story,No,No,Yes,White,White,,Female,Female,18,18,,Liberal
952,1,#18-17,English,USA,1,Adams State University,Lab,79,control story,No,No,Yes,White,White,,Male,Male,18,18,,Liberal
956,1,#18-17,English,USA,1,Adams State University,Lab,83,control story,No,Yes,No,Black,Black or African American,,Male,Male,18,18,Democrat,Liberal
960,1,#18-17,English,USA,1,Adams State University,Lab,87,control story,Yes,Yes,Yes,White,White,,Female,Female,18,18,,Liberal
961,1,#18-17,English,USA,1,Adams State University,Lab,88,control story,Yes,No,Yes,Black,Black or African American,,Female,Female,18,18,Democrat,Conservative
969,1,#18-17,English,USA,1,Adams State University,Lab,96,status story,No,Yes,Yes,White,White,,Male,Male,18,18,,Conservative
975,1,#18-17,English,USA,1,Adams State University,Lab,102,status story,Yes,No,No,White,White,,Female,Female,18,18,,Liberal
1023,11,#18-20,English,USA,2,Moravian,Online,R_OPPljIoOYBppVhT,no story,Yes,Yes,No,white,White,,Female,Female,18,18,,
1031,11,#18-20,English,USA,2,Moravian,Online,R_2qDHrObQS1giAR1,no story,No,Yes,Yes,black,Black or African American,,Female,Female,18,18,,
1040,11,#18-20,English,USA,2,Moravian,Online,R_2bWdKaiD524Pd5g,control story,Yes,Yes,No,white,White,,Male,Male,18,18,,
1065,11,#18-20,English,USA,2,Moravian,Online,R_2xS0m2H7uXr0dGI,control story,No,No,No,white,White,,Female,Female,18,18,,
1099,11,#18-20,English,USA,2,Moravian,Online,R_3huo1dIcxKBgPq0,status story,Yes,No,Yes,black,Black or African American,,Male,Male,18,18,,
1116,11,#18-20,English,USA,2,Moravian,Online,R_3KBoEgMnSlvb91U,control story,No,Yes,No,white,White,,Female,Female,18,18,,
1145,11,#18-20,English,USA,2,Moravian,Online,R_DtWOteeSJR7665P,status story,No,Yes,Yes,white,White,,Male,Male,18,18,,
1156,11,#18-20,English,USA,2,Moravian,Online,R_3Etz27zL8KPnybf,no story,No,Yes,No,white,White,,Female,Female,18,18,,
1276,11,#18-20,English,USA,2,Moravian,Online,R_2fvOfR6hd72y4yA,status story,Yes,No,No,white,White,,Male,Male,18,18,,
1293,11,#18-20,English,USA,2,Moravian,Online,R_33EyEe5auFTy8b8,no story,Yes,No,No,white,White,,Male,Male,18,18,,
1295,11,#18-20,English,USA,2,Moravian,Online,R_1obR3XQfscvPCs7,status story,No,No,Yes,white,White,,Male,Male,18,18,,
1305,11,#18-20,English,USA,2,Moravian,Online,R_2XbwATxBP5pd550,no story,No,Yes,Yes,white,White,,Female,Female,18,18,,
1307,11,#18-20,English,USA,2,Moravian,Online,R_1r9tEBDNv9WBOZS,no story,No,Yes,No,white,White,,Female,Female,18,18,,
1318,11,#18-20,English,USA,2,Moravian,Online,R_2bHjkL0hmoVGuOJ,status story,No,Yes,No,other,Other,,Male,Male,18,18,,
1319,11,#18-20,English,USA,2,Moravian,Online,R_oZ6BaR6YON6RlAZ,no story,Yes,Yes,No,other,Other,,Female,Female,18,18,,
1327,11,#18-20,English,USA,2,Moravian,Online,R_3plmpUCxscjeI2S,control story,Yes,No,No,hispanic,Hispanic or Latino,,Female,Female,18,18,,
1380,17,#18-23,English,USA,12,Utah Valley University,Online,None given,no story,Yes,Yes,Yes,white,White,,Female,Female,18,18,,Conservative
1427,17,#18-23,English,USA,12,Utah Valley University,Online,None given,status story,Yes,Yes,No,white,White,,Male,Male,18,18,,Conservative
1435,17,#18-23,English,USA,12,Utah Valley University,Online,None given,status story,Yes,Yes,No,white,White,,Female,Female,18,18,,Conservative
1447,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,174,control story,No,No,No,White,White,,Male,Male,18,18,,Conservative
1458,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,185,no story,Yes,Yes,No,White,White,,Female,Female,18,18,Republican,Liberal
1464,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,191,no story,No,Yes,Yes,Hispanic/Latino,Hispanic or Latino,,Female,Female,18,18,Republican,
1472,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,199,control story,Yes,No,No,Hispanic/Latino,Hispanic or Latino,,Female,Female,18,18,Republican,Conservative
1473,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,200,control story,No,No,Yes,Black/African-American,Black or African American,,Female,Female,18,18,,
1477,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,210,status story,Yes,No,No,White,White,,Male,Male,18,18,Republican,Conservative
1480,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,213,control story,Yes,No,Yes,White,White,,Male,Male,18,18,,
1482,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,215,control story,,Yes,No,White,White,,Female,Female,18,18,Republican,Conservative
1485,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,218,control story,,No,Yes,Black/African-American,Black or African American,,Male,Male,18,18,Democrat,Liberal
1487,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,226,no story,Yes,Yes,No,White,White,,Female,Female,18,18,Republican,
1488,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,227,no story,No,No,No,Black/African-American,Black or African American,,Female,Female,18,18,Democrat,
1490,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,229,status story,No,No,Yes,Black/African-American,Black or African American,,Male,Male,18,18,Democrat,
1492,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,231,no story,Yes,Yes,Yes,Black/African-American,Black or African American,,Female,Female,18,18,,
1493,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,232,control story,Yes,,Yes,White,White,,Female,Female,18,18,Democrat,
1494,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,233,status story,No,No,Yes,Black/African-American,Black or African American,,Female,Female,18,18,Democrat,
1495,16,#18-30,English,USA,11,University of South Carolina - Aiken,lab - groups,234,status story,No,No,No,Black/African-American,Black or African American,,Female,Female,18,18,,
