participant_id,project_code,survey_language,country,institute_code,setting,condition,greencar,greensoap,greendishwasher,race,recoded_race,nationality,original_gender,gender,original_age,age,RorD,LiborCon
82,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,Yes,,,,female,Female,19,19,,
83,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,No,,,,female,Female,19,19,,
84,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,No,,,,female,Female,19,19,,
85,22,Dutch,The Netherlands,18,Lab,control story,No,No,No,,,,male,Male,19,19,,
86,22,Dutch,The Netherlands,18,Lab,control story,No,Yes,Yes,,,,male,Male,18,18,,
87,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,No,,,,female,Female,18,18,,
88,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,Yes,,,,female,Female,18,18,,
89,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,No,,,,female,Female,19,19,,
90,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,No,,,,female,Female,20,20,,
91,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,No,,,,female,Female,18,18,,
92,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,No,,,,female,Female,23,23,,
93,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,Yes,,,,female,Female,19,19,,
94,22,Dutch,The Netherlands,18,Lab,control story,No,Yes,No,,,,female,Female,20,20,,
95,22,Dutch,The Netherlands,18,Lab,control story,No,Yes,Yes,,,,female,Female,20,20,,
96,22,Dutch,The Netherlands,18,Lab,control story,No,Yes,No,,,,female,Female,17,17,,
97,22,Dutch,The Netherlands,18,Lab,control story,No,Yes,Yes,,,,male,Male,19,19,,
98,22,Dutch,The Netherlands,18,Lab,control story,No,No,Yes,,,,female,Female,19,19,,
99,22,Dutch,The Netherlands,18,Lab,control story,No,No,No,,,,female,Female,24,24,,
100,22,Dutch,The Netherlands,18,Lab,control story,No,Yes,No,,,,female,Female,18,18,,
101,22,Dutch,The Netherlands,18,Lab,control story,No,Yes,No,,,,female,Female,18,18,,
102,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,Yes,,,,female,Female,19,19,,
103,22,Dutch,The Netherlands,18,Lab,control story,No,No,No,,,,female,Female,19,19,,
104,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,No,,,,female,Female,19,19,,
105,22,Dutch,The Netherlands,18,Lab,control story,No,Yes,No,,,,male,Male,21,21,,
106,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,Yes,,,,female,Female,18,18,,
107,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,No,,,,female,Female,19,19,,
108,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,No,,,,male,Male,20,20,,
109,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,No,,,,female,Female,19,19,,
110,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,Yes,,,,female,Female,18,18,,
111,22,Dutch,The Netherlands,18,Lab,control story,No,Yes,No,,,,male,Male,19,19,,
112,22,Dutch,The Netherlands,18,Lab,control story,No,Yes,No,,,,female,Female,18,18,,
113,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,Yes,,,,female,Female,19,19,,
114,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,Yes,,,,female,Female,19,19,,
115,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,No,,,,female,Female,18,18,,
116,22,Dutch,The Netherlands,18,Lab,control story,No,Yes,Yes,,,,female,Female,20,20,,
117,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,Yes,,,,female,Female,19,19,,
118,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,Yes,,,,female,Female,21,21,,
119,22,Dutch,The Netherlands,18,Lab,control story,No,Yes,Yes,,,,female,Female,19,19,,
120,22,Dutch,The Netherlands,18,Lab,control story,No,No,Yes,,,,female,Female,20,20,,
121,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,No,,,,female,Female,19,19,,
122,22,Dutch,The Netherlands,18,Lab,control story,No,Yes,No,,,,female,Female,23,23,,
123,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,No,,,,female,Female,24,24,,
124,22,Dutch,The Netherlands,18,Lab,control story,No,No,No,,,,male,Male,21,21,,
125,22,Dutch,The Netherlands,18,Lab,control story,No,Yes,No,,,,female,Female,18,18,,
126,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,No,,,,female,Female,18,18,,
127,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,No,,,,female,Female,19,19,,
128,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,No,,,,female,Female,20,20,,
129,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,No,,,,male,Male,19,19,,
130,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,Yes,,,,female,Female,17,17,,
131,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,Yes,,,,female,Female,19,19,,
132,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,No,,,,female,Female,18,18,,
133,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,No,,,,male,Male,18,18,,
134,22,Dutch,The Netherlands,18,Lab,control story,No,No,No,,,,female,Female,21,21,,
135,22,Dutch,The Netherlands,18,Lab,,No,No,No,,,,female,Female,25,25,,
136,22,Dutch,The Netherlands,18,Lab,status story,Yes,No,No,,,,female,Female,20,20,,
137,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,Yes,,,,female,Female,22,22,,
138,22,Dutch,The Netherlands,18,Lab,status story,Yes,No,No,,,,female,Female,22,22,,
139,22,Dutch,The Netherlands,18,Lab,status story,Yes,No,No,,,,female,Female,18,18,,
140,22,Dutch,The Netherlands,18,Lab,status story,Yes,No,No,,,,female,Female,19,19,,
141,22,Dutch,The Netherlands,18,Lab,status story,No,No,No,,,,female,Female,22,22,,
142,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,female,Female,19,19,,
143,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,Yes,,,,male,Male,24,24,,
144,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,female,Female,22,22,,
145,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,No,,,,male,Male,18,18,,
146,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,Yes,,,,female,Female,22,22,,
147,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,Yes,,,,female,Female,20,20,,
148,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,No,,,,female,Female,26,26,,
149,22,Dutch,The Netherlands,18,Lab,status story,Yes,No,No,,,,female,Female,23,23,,
150,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,Yes,,,,female,Female,23,23,,
151,22,Dutch,The Netherlands,18,Lab,status story,No,No,No,,,,male,Male,18,18,,
152,22,Dutch,The Netherlands,18,Lab,status story,Yes,No,No,,,,female,Female,19,19,,
153,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,female,Female,19,19,,
154,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,Yes,,,,female,Female,18,18,,
155,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,No,,,,female,Female,20,20,,
156,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,No,,,,female,Female,19,19,,
157,22,Dutch,The Netherlands,18,Lab,status story,Yes,No,Yes,,,,female,Female,19,19,,
158,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,female,Female,19,19,,
159,22,Dutch,The Netherlands,18,Lab,status story,No,No,No,,,,female,Female,21,21,,
160,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,Yes,,,,female,Female,18,18,,
161,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,No,,,,female,Female,20,20,,
162,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,Yes,,,,male,Male,20,20,,
163,22,Dutch,The Netherlands,18,Lab,status story,Yes,No,Yes,,,,male,Male,19,19,,
164,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,female,Female,19,19,,
165,22,Dutch,The Netherlands,18,Lab,status story,No,No,No,,,,female,Female,19,19,,
166,22,Dutch,The Netherlands,18,Lab,status story,Yes,No,No,,,,female,Female,19,19,,
167,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,female,Female,18,18,,
168,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,No,,,,female,Female,19,19,,
169,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,female,Female,20,20,,
170,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,female,Female,20,20,,
171,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,No,,,,female,Female,22,22,,
172,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,No,,,,male,Male,21,21,,
173,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,female,Female,18,18,,
174,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,No,,,,female,Female,20,20,,
175,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,male,Male,18,18,,
176,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,female,Female,24,24,,
177,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,Yes,,,,female,Female,24,24,,
178,22,Dutch,The Netherlands,18,Lab,status story,No,No,No,,,,female,Female,18,18,,
179,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,female,Female,22,22,,
180,22,Dutch,The Netherlands,18,Lab,status story,No,No,No,,,,male,Male,22,22,,
181,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,female,Female,19,19,,
182,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,No,,,,female,Female,19,19,,
183,22,Dutch,The Netherlands,18,Lab,status story,Yes,No,No,,,,female,Female,22,22,,
184,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,Yes,,,,female,Female,18,18,,
185,22,Dutch,The Netherlands,18,Lab,status story,Yes,No,Yes,,,,male,Male,22,22,,
186,22,Dutch,The Netherlands,18,Lab,status story,Yes,No,No,,,,female,Female,18,18,,
187,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,Yes,,,,female,Female,20,20,,
188,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,female,Female,18,18,,
189,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,Yes,,,,male,Male,21,21,,
190,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,Yes,,,,female,Female,19,19,,
191,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,female,Female,18,18,,
192,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,Yes,,,,female,Female,20,20,,
193,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,Yes,,,,male,Male,19,19,,
194,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,No,,,,female,Female,18,18,,
195,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,Yes,,,,female,Female,18,18,,
196,22,Dutch,The Netherlands,18,Lab,status story,No,No,Yes,,,,female,Female,19,19,,
197,22,Dutch,The Netherlands,18,Lab,status story,No,Yes,No,,,,female,Female,20,20,,
198,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,Yes,,,,female,Female,20,20,,
199,22,Dutch,The Netherlands,18,Lab,status story,Yes,No,No,,,,female,Female,18,18,,
200,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,Yes,,,,female,Female,28,28,,
201,22,Dutch,The Netherlands,18,Lab,status story,Yes,No,No,,,,female,Female,20,20,,
202,22,Dutch,The Netherlands,18,Lab,status story,Yes,Yes,Yes,,,,female,Female,19,19,,
203,22,Dutch,The Netherlands,18,Lab,status story,Yes,No,No,,,,male,Male,20,20,,
204,22,Dutch,The Netherlands,18,Lab,status story,No,No,No,,,,female,Female,25,25,,
205,19,English,USA,14,Lab,no story,No,No,Yes,,,,Female,Female,,,,
206,19,English,USA,14,Lab,status story,Yes,No,No,,,,Female,Female,,,,
207,19,English,USA,14,Lab,control story,No,Yes,No,,,,Male,Male,,,,
208,19,English,USA,14,Lab,control story,Yes,No,Yes,,,,Female,Female,,,,
209,19,English,USA,14,Lab,control story,Yes,No,No,,,,Female,Female,,,,
210,19,English,USA,14,Lab,control story,Yes,Yes,Yes,,,,Male,Male,,,,
211,19,English,USA,14,Lab,control story,Yes,Yes,Yes,,,,Male,Male,,,,
212,19,English,USA,14,Lab,status story,No,Yes,No,,,,Male,Male,,,,
213,19,English,USA,14,Lab,status story,Yes,Yes,Yes,,,,Female,Female,,,,
214,19,English,USA,14,Lab,status story,Yes,Yes,Yes,,,,Female,Female,,,,
215,19,English,USA,14,Lab,no story,No,Yes,Yes,,,,Male,Male,,,,
216,19,English,USA,14,Lab,control story,No,Yes,Yes,,,,Female,Female,,,,
217,19,English,USA,14,Lab,control story,Yes,No,Yes,,,,Male,Male,,,,
218,19,English,USA,14,Lab,control story,Yes,Yes,Yes,,,,Female,Female,,,,
219,19,English,USA,14,Lab,no story,No,Yes,Yes,,,,Male,Male,,,,
220,19,English,USA,14,Lab,status story,No,Yes,Yes,,,,Female,Female,,,,
221,19,English,USA,14,Lab,no story,No,Yes,Yes,,,,Female,Female,,,,
222,19,English,USA,14,Lab,no story,Yes,No,Yes,,,,Female,Female,,,,
223,19,English,USA,14,Lab,no story,No,No,No,,,,Male,Male,,,,
224,19,English,USA,14,Lab,control story,No,No,Yes,,,,Female,Female,,,,
225,19,English,USA,14,Lab,status story,No,Yes,Yes,,,,Male,Male,,,,
226,19,English,USA,14,Lab,control story,Yes,Yes,No,,,,Female,Female,,,,
227,19,English,USA,14,Lab,status story,No,No,No,,,,Male,Male,,,,
228,19,English,USA,14,Lab,control story,No,Yes,Yes,,,,Female,Female,,,,
229,19,English,USA,14,Lab,status story,No,Yes,Yes,,,,Female,Female,,,,
230,19,English,USA,14,Lab,no story,No,No,No,,,,Male,Male,,,,
231,19,English,USA,14,Lab,status story,No,Yes,Yes,,,,Male,Male,,,,
232,19,English,USA,14,Lab,no story,No,Yes,Yes,,,,Female,Female,,,,
233,19,English,USA,14,Lab,no story,Yes,Yes,Yes,,,,Male,Male,,,,
234,19,English,USA,14,Lab,status story,No,No,Yes,,,,Female,Female,,,,
235,19,English,USA,14,Lab,control story,Yes,Yes,Yes,,,,Male,Male,,,,
236,19,English,USA,14,Lab,status story,No,No,Yes,,,,Male,Male,,,,
237,19,English,USA,14,Lab,status story,No,Yes,Yes,,,,Male,Male,,,,
238,19,English,USA,14,Lab,no story,Yes,No,No,,,,Female,Female,,,,
239,19,English,USA,14,Lab,control story,Yes,Yes,Yes,,,,Female,Female,,,,
240,19,English,USA,14,Lab,no story,Yes,Yes,Yes,,,,Female,Female,,,,
241,19,English,USA,14,Lab,no story,No,No,No,,,,Female,Female,,,,
242,19,English,USA,14,Lab,status story,No,No,No,,,,Male,Male,,,,
243,19,English,USA,14,Lab,no story,Yes,Yes,Yes,,,,Female,Female,,,,
244,19,English,USA,14,Lab,control story,Yes,No,No,,,,Male,Male,,,,
245,19,English,USA,14,Lab,no story,No,No,Yes,,,,Male,Male,,,,
246,19,English,USA,14,Lab,control story,No,No,No,,,,Male,Male,,,,
247,19,English,USA,14,Lab,no story,No,Yes,No,,,,Female,Female,,,,
248,19,English,USA,14,Lab,no story,No,Yes,Yes,,,,Male,Male,,,,
249,19,English,USA,14,Lab,control story,No,Yes,Yes,,,,Male,Male,,,,
250,19,English,USA,14,Lab,no story,Yes,No,Yes,,,,Female,Female,,,,
251,19,English,USA,14,Lab,control story,No,Yes,Yes,,,,Female,Female,,,,
252,19,English,USA,14,Lab,no story,No,No,Yes,,,,Male,Male,,,,
253,19,English,USA,14,Lab,no story,No,No,No,,,,Female,Female,,,,
254,19,English,USA,14,Lab,status story,No,No,No,,,,Female,Female,,,,
255,19,English,USA,14,Lab,status story,No,Yes,Yes,,,,Female,Female,,,,
256,19,English,USA,14,Lab,control story,Yes,No,Yes,,,,Male,Male,,,,
257,19,English,USA,14,Lab,control story,No,Yes,Yes,,,,Female,Female,,,,
258,19,English,USA,14,Lab,status story,No,No,Yes,,,,Female,Female,,,,
259,19,English,USA,14,Lab,no story,No,Yes,Yes,,,,Male,Male,,,,
260,19,English,USA,14,Lab,no story,No,Yes,Yes,,,,Female,Female,,,,
261,19,English,USA,14,Lab,no story,No,Yes,Yes,,,,Female,Female,,,,
262,19,English,USA,14,Lab,control story,No,No,Yes,,,,Female,Female,,,,
263,19,English,USA,14,Lab,control story,No,Yes,Yes,,,,Female,Female,,,,
264,19,English,USA,14,Lab,control story,No,Yes,Yes,,,,Male,Male,,,,
265,19,English,USA,14,Lab,no story,No,No,Yes,,,,Female,Female,,,,
266,19,English,USA,14,Lab,status story,Yes,No,Yes,,,,Male,Male,,,,
267,19,English,USA,14,Lab,status story,No,Yes,Yes,,,,Female,Female,,,,
268,19,English,USA,14,Lab,no story,Yes,No,No,,,,Female,Female,,,,
269,19,English,USA,14,Lab,status story,No,Yes,No,,,,Male,Male,,,,
270,19,English,USA,14,Lab,control story,No,No,No,,,,Female,Female,,,,
271,19,English,USA,14,Lab,no story,Yes,No,No,,,,Female,Female,,,,
272,19,English,USA,14,Lab,no story,No,No,No,,,,Male,Male,,,,
273,19,English,USA,14,Lab,status story,No,No,Yes,,,,Male,Male,,,,
274,19,English,USA,14,Lab,control story,No,Yes,No,,,,Male,Male,,,,
275,19,English,USA,14,Lab,status story,No,No,No,,,,Female,Female,,,,
276,19,English,USA,14,Lab,no story,Yes,Yes,No,,,,Female,Female,,,,
277,19,English,USA,14,Lab,no story,No,No,Yes,,,,Female,Female,,,,
278,19,English,USA,14,Lab,control story,No,Yes,Yes,,,,Female,Female,,,,
279,19,English,USA,14,Lab,status story,No,No,No,,,,Female,Female,,,,
280,19,English,USA,14,Lab,control story,Yes,Yes,No,,,,Female,Female,,,,
281,19,English,USA,14,Lab,control story,No,Yes,Yes,,,,Female,Female,,,,
282,19,English,USA,14,Lab,control story,No,No,No,,,,Female,Female,,,,
283,19,English,USA,14,Lab,status story,No,Yes,Yes,,,,Female,Female,,,,
284,19,English,USA,14,Lab,status story,No,No,Yes,,,,Female,Female,,,,
285,19,English,USA,14,Lab,status story,Yes,Yes,No,,,,Female,Female,,,,
286,19,English,USA,14,Lab,no story,No,Yes,Yes,,,,Female,Female,,,,
287,19,English,USA,14,Lab,status story,Yes,Yes,Yes,,,,Female,Female,,,,
288,19,English,USA,14,Lab,control story,No,No,No,,,,Female,Female,,,,
289,19,English,USA,14,Lab,control story,Yes,No,Yes,,,,Female,Female,,,,
290,19,English,USA,14,Lab,status story,No,Yes,No,,,,Male,Male,,,,
291,19,English,USA,14,Lab,status story,Yes,No,No,,,,Female,Female,,,,
292,19,English,USA,14,Lab,no story,No,Yes,Yes,,,,Female,Female,,,,
293,19,English,USA,14,Lab,no story,Yes,Yes,Yes,,,,Male,Male,,,,
294,19,English,USA,14,Lab,control story,No,No,No,,,,Female,Female,,,,
295,23,English,USA,19,Lab,control story,Yes,Yes,Yes,White/Caucasian/European American,White,,Female,Female,26,26,Democrat,Liberal
296,23,English,USA,19,Lab,control story,Yes,Yes,Yes,White/Caucasian/European American,White,,Female,Female,22,22,Democrat,Liberal
297,23,English,USA,19,Lab,control story,Yes,No,No,White/Caucasian/European American,White,,Female,Female,24,24,Democrat,Liberal
298,23,English,USA,19,Lab,control story,Yes,Yes,Yes,White/Caucasian/European American,White,,Male,Male,22,22,Democrat,Liberal
299,23,English,USA,19,Lab,control story,No,Yes,Yes,Multiracial,Multiracial,,Female,Female,21,21,Democrat,Liberal
300,23,English,USA,19,Lab,control story,Yes,Yes,Yes,White/Caucasian/European American,White,,Female,Female,21,21,Democrat,Liberal
